,0,NorESM1-ME,CESM1-BGC,GFDL-ESM2M,MIROC-ESM,IPSL-CM5A-LR,CanESM2,GFDL-ESM2G,HadGEM2-ES,MPI-ESM-LR,inmcm4,MRI-ESM1,bcc-ccsm1-1,RCP8.5_concs
31,1881.0,-1.8999999999999773,-1.1999999999999886,2.1999999999999886,-3.8999999999999773,-3.0,-3.8000000000000114,0.6999999999999886,1.1999999999999886,1.1999999999999886,-8.899999999999977,0.19999999999998863,-2.099999999999966,291.2
32,1882.0,-1.875,-1.1750000000000114,3.3249999999999886,-4.475000000000023,-2.9750000000000227,-3.5749999999999886,1.625,0.8249999999999886,1.724999999999966,-8.675000000000011,-0.6750000000000114,-2.0749999999999886,291.675
33,1883.0,-1.9250000000000114,-2.0249999999999773,4.675000000000011,-5.425000000000011,-3.3249999999999886,-1.9250000000000114,3.0749999999999886,0.27499999999997726,2.6750000000000114,-9.324999999999989,-1.4250000000000114,-3.0249999999999773,292.125
34,1884.0,-1.875,-2.7749999999999773,3.7250000000000227,-5.074999999999989,-4.474999999999966,-2.6750000000000114,3.625,-0.375,2.125,-8.574999999999989,-2.6750000000000114,-4.974999999999966,292.575
35,1885.0,-1.9750000000000227,-2.775000000000034,2.125,-5.275000000000034,-5.675000000000011,-5.675000000000011,3.0249999999999773,-0.875,-0.2750000000000341,-8.675000000000011,-3.6750000000000114,-5.875,292.975
36,1886.0,-2.0,-3.1000000000000227,0.5,-5.600000000000023,-6.400000000000034,-5.900000000000034,2.099999999999966,-1.400000000000034,-1.8000000000000114,-9.400000000000034,-4.400000000000034,-8.100000000000023,293.3
37,1887.0,-1.974999999999966,-3.1750000000000114,0.8249999999999886,-4.875,-6.875,-5.375,0.9250000000000114,-1.0749999999999886,-1.875,-9.274999999999977,-5.074999999999989,-8.074999999999989,293.575
38,1888.0,-2.0,-2.6000000000000227,2.3999999999999773,-4.800000000000011,-7.400000000000034,-5.300000000000011,0.30000000000001137,-0.30000000000001137,-1.3000000000000114,-8.900000000000034,-5.100000000000023,-7.800000000000011,293.8
39,1889.0,-2.0,-2.0,4.100000000000023,-5.300000000000011,-6.800000000000011,-4.800000000000011,1.0,-0.5,-1.1999999999999886,-9.5,-5.699999999999989,-6.600000000000023,294.0
40,1890.0,-2.0749999999999886,-2.4750000000000227,5.625,-5.475000000000023,-6.175000000000011,-4.475000000000023,0.024999999999977263,0.024999999999977263,-0.9750000000000227,-9.975000000000023,-5.574999999999989,-6.074999999999989,294.175
41,1891.0,-2.0249999999999773,-3.0249999999999773,4.074999999999989,-6.324999999999989,-6.625,-5.125,0.6750000000000114,0.7750000000000341,-0.625,-9.524999999999977,-5.625,-6.524999999999977,294.325
42,1892.0,-2.0750000000000455,-2.1750000000000114,3.0249999999999773,-6.375,-6.375,-5.675000000000011,1.4249999999999545,1.0249999999999773,0.2249999999999659,-9.575000000000045,-5.175000000000011,-6.675000000000011,294.475
43,1893.0,-2.1000000000000227,-2.2000000000000455,3.5,-5.7000000000000455,-6.2000000000000455,-6.900000000000034,1.099999999999966,1.5,0.5999999999999659,-9.300000000000011,-4.400000000000034,-6.400000000000034,294.6
44,1894.0,-2.099999999999966,-2.599999999999966,5.900000000000034,-4.899999999999977,-6.199999999999989,-6.399999999999977,2.1999999999999886,2.3000000000000114,0.6000000000000227,-9.199999999999989,-4.300000000000011,-6.5,294.7
45,1895.0,-2.1000000000000227,-2.1000000000000227,7.599999999999966,-4.0,-6.199999999999989,-6.199999999999989,3.3000000000000114,2.1999999999999886,0.19999999999998863,-9.600000000000023,-4.600000000000023,-4.600000000000023,294.8
46,1896.0,-2.099999999999966,-1.3999999999999773,5.400000000000034,-3.7999999999999545,-6.099999999999966,-5.7999999999999545,2.6000000000000227,1.8000000000000114,-0.0999999999999659,-10.0,-5.0,-4.2999999999999545,294.9
47,1897.0,-2.0249999999999773,-1.0249999999999773,2.875,-4.724999999999966,-5.4249999999999545,-5.625,1.775000000000034,1.375,0.375,-10.724999999999966,-4.724999999999966,-3.4249999999999545,295.025
48,1898.0,-2.025000000000034,-1.7250000000000227,3.474999999999966,-5.125,-5.125,-5.625,0.875,1.474999999999966,0.17499999999995453,-10.325000000000045,-4.725000000000023,-3.125,295.225
49,1899.0,-2.0,-2.0,4.5,-5.300000000000011,-4.600000000000023,-5.0,0.19999999999998863,1.1999999999999886,0.10000000000002274,-9.600000000000023,-4.699999999999989,-2.6999999999999886,295.5
50,1900.0,-2.0,-1.900000000000034,5.399999999999977,-4.900000000000034,-4.400000000000034,-5.300000000000011,1.3999999999999773,0.5,-0.19999999999998863,-9.699999999999989,-4.5,-3.1999999999999886,295.8
51,1901.0,-1.9250000000000114,-1.7250000000000227,5.375,-5.824999999999989,-4.625,-6.225000000000023,2.9750000000000227,0.6750000000000114,-0.32499999999998863,-10.125,-4.824999999999989,-3.125,296.125
