,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
5,0.274467305857879,IPSL-CM5A-LR,CanESM2,rcp60,3.7431481,4.017615405857879,66.67700000000002,4.1,2.0
6,0.17214536587432114,IPSL-CM5A-LR,GFDL-ESM2G,rcp60,3.7431481,3.915293465874321,41.077,4.1,2.0
7,0.1879691561489635,IPSL-CM5A-LR,HadGEM2-ES,rcp60,3.7431481,3.9311172561489633,44.97700000000009,4.1,2.0
8,0.02740588118044441,IPSL-CM5A-LR,MPI-ESM-LR,rcp60,3.7431481,3.7705539811804445,6.377000000000066,4.1,2.0
9,-0.026996794892734065,IPSL-CM5A-LR,inmcm4,rcp60,3.7431481,3.716151305107266,-6.222999999999956,4.1,2.0
10,-0.40153499308519675,IPSL-CM5A-LR,MRI-ESM1,rcp60,3.7431481,3.3416131069148034,-86.82299999999998,4.1,2.0
11,0.04786445004463042,IPSL-CM5A-LR,bcc-ccsm1-1,rcp60,3.7431481,3.7910125500446306,11.177000000000021,4.1,2.0
0,-0.004853231031389044,IPSL-CM5A-MR,NorESM1-ME,rcp60,3.5964318,3.591578568968611,-1.1229999999999336,4.03,2.0
1,0.5111333124354478,IPSL-CM5A-MR,CESM1-BGC,rcp60,3.5964318,4.107565112435448,129.4770000000001,4.03,2.0
2,0.18270417400782266,IPSL-CM5A-MR,GFDL-ESM2M,rcp60,3.5964318,3.7791359740078225,43.67700000000002,4.03,2.0
3,0.3842772327679341,IPSL-CM5A-MR,MIROC-ESM,rcp60,3.5964318,3.980709032767934,95.17700000000002,4.03,2.0
4,-0.08822411778335432,IPSL-CM5A-MR,IPSL-CM5A-LR,rcp60,3.5964318,3.5082076822166455,-20.122999999999934,4.03,2.0
5,0.274467305857879,IPSL-CM5A-MR,CanESM2,rcp60,3.5964318,3.870899105857879,66.67700000000002,4.03,2.0
6,0.17214536587432114,IPSL-CM5A-MR,GFDL-ESM2G,rcp60,3.5964318,3.768577165874321,41.077,4.03,2.0
